sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,month
2007-01,4096,4096,1.130645751953125,2.7692223099545843,0.25,0.375,0.375,0.5,0.5,0.75,12.0,40.0,0.093017578125,21.60068231144162,13.63333,54.79088,92.52174,2007-01
2007-02,4099,4099,1.1348194681629666,2.7817123548781995,0.25,0.3725000000000005,0.375,0.5,0.5,0.8750000000000001,13.0,40.0,0.09392534764576727,22.06528312756176,14.03727,55.90929600000002,91.58067239999995,2007-02
2007-03,4112,4112,1.2236746108949417,2.7702791689566593,0.25,0.375,0.375,0.5,0.5,1.625,13.0,40.0,0.10943579766536965,23.88609159428923,16.29307,60.40374,94.0283855,2007-03
2007-04,4097,4097,1.161795216011716,2.6833400021585314,0.25,0.375,0.375,0.5,0.5,1.125,12.0,45.0,0.1034903587991213,24.084982258207592,16.140565000000002,60.499925,92.5749495,2007-04
2007-05,4135,4135,1.2448004836759372,2.8327313154386276,0.25,0.375,0.375,0.5,0.5,2.5,12.659999999999854,55.00000000000001,0.11753325272067715,24.847210787014415,17.42096,62.49970800000002,92.96512119999998,2007-05
2007-06,4107,4107,1.2758704650596542,2.7491585863762342,0.25,0.375,0.5,0.5,0.5,2.5,12.0,55.00000000000001,0.12271731190650109,27.227486080209257,19.797575000000002,66.95921200000001,93.00455759999998,2007-06
2007-07,4110,4110,1.3630170316301704,2.958285563876804,0.25,0.375,0.5,0.5,0.5,3.5000000000000004,12.0,50.0,0.13138686131386862,27.918042257030365,21.2157,67.36013,92.777495,2007-07
2007-08,4113,4113,1.3815037685387794,3.1261262960289486,0.25,0.375,0.375,0.5,0.5,3.5000000000000004,13.0,55.00000000000001,0.13469486992462923,26.912958244594396,20.73669,63.453541,91.84561029999995,2007-08
2007-09,4075,4075,1.488282208588957,3.206862348251474,0.25,0.375,0.375,0.5,0.5,4.5,14.000000000000002,55.00000000000001,0.1663803680981595,27.23592112782404,21.37983,64.658906,92.8871628,2007-09
2007-10,4079,4079,1.4041431723461633,3.4846595515048713,0.25,0.25,0.25,0.25,0.375,6.0,14.000000000000002,75.0,0.16842363324344203,25.900758665615385,19.33442,63.001647,92.59210700000001,2007-10
