year,markit_match_status,rows,permnos
2005,cusip_no_fee,20863,2467
2005,matched_cusip9_fee_4of21_prefilter,42439,4201
2005,matched_cusip9_fee_below_4of21_prefilter,3370,1412
2005,matched_unique_cusip8_fee_4of21_prefilter,28,3
2005,matched_unique_cusip8_fee_below_4of21_prefilter,8,2
2006,cusip_no_fee,16482,1979
2006,matched_cusip9_fee_4of21_prefilter,47667,4577
2006,matched_cusip9_fee_below_4of21_prefilter,1558,863
2006,matched_unique_cusip8_fee_4of21_prefilter,34,3
2006,matched_unique_cusip8_fee_below_4of21_prefilter,2,1
2007,cusip_no_fee,5938,951
2007,matched_cusip9_fee_4of21_prefilter,57944,5443
2007,matched_cusip9_fee_below_4of21_prefilter,608,411
2007,matched_unique_cusip8_fee_4of21_prefilter,36,3
2008,cusip_no_fee,5280,856
2008,matched_cusip9_fee_4of21_prefilter,56146,5192
2008,matched_cusip9_fee_below_4of21_prefilter,689,433
2008,matched_unique_cusip8_fee_4of21_prefilter,36,3
2009,cusip_no_fee,4272,794
2009,matched_cusip9_fee_4of21_prefilter,52901,4912
2009,matched_cusip9_fee_below_4of21_prefilter,1002,562
2009,matched_unique_cusip8_fee_4of21_prefilter,36,3
2010,cusip_no_fee,4564,693
2010,matched_cusip9_fee_4of21_prefilter,50970,4658
2010,matched_cusip9_fee_below_4of21_prefilter,619,393
2010,matched_unique_cusip8_fee_4of21_prefilter,36,3
2011,cusip_no_fee,2433,470
2011,matched_cusip9_fee_4of21_prefilter,51637,4633
2011,matched_cusip9_fee_below_4of21_prefilter,466,307
2011,matched_unique_cusip8_fee_4of21_prefilter,36,3
2012,cusip_no_fee,2461,398
2012,matched_cusip9_fee_4of21_prefilter,50215,4474
2012,matched_cusip9_fee_below_4of21_prefilter,395,237
2012,matched_unique_cusip8_fee_4of21_prefilter,36,3
2013,cusip_no_fee,2607,443
2013,matched_cusip9_fee_4of21_prefilter,49272,4436
2013,matched_cusip9_fee_below_4of21_prefilter,446,276
2013,matched_unique_cusip8_fee_4of21_prefilter,34,3
2014,cusip_no_fee,1443,445
2014,matched_cusip9_fee_4of21_prefilter,51761,4683
2014,matched_cusip9_fee_below_4of21_prefilter,398,273
2014,matched_unique_cusip8_fee_4of21_prefilter,24,2
2015,cusip_no_fee,1402,368
2015,matched_cusip9_fee_4of21_prefilter,52578,4725
2015,matched_cusip9_fee_below_4of21_prefilter,490,305
2015,matched_unique_cusip8_fee_4of21_prefilter,14,2
2015,matched_unique_cusip8_fee_below_4of21_prefilter,1,1
2016,cusip_no_fee,1051,258
2016,matched_cusip9_fee_4of21_prefilter,51891,4656
2016,matched_cusip9_fee_below_4of21_prefilter,310,213
2016,matched_unique_cusip8_fee_4of21_prefilter,12,1
2017,cusip_no_fee,918,245
2017,matched_cusip9_fee_4of21_prefilter,51342,4582
2017,matched_cusip9_fee_below_4of21_prefilter,271,189
2017,matched_unique_cusip8_fee_4of21_prefilter,12,1
2018,cusip_no_fee,947,266
2018,matched_cusip9_fee_4of21_prefilter,51510,4591
2018,matched_cusip9_fee_below_4of21_prefilter,305,200
2018,matched_unique_cusip8_fee_4of21_prefilter,12,1
2019,cusip_no_fee,891,239
2019,matched_cusip9_fee_4of21_prefilter,51876,4607
2019,matched_cusip9_fee_below_4of21_prefilter,250,176
2019,matched_unique_cusip8_fee_4of21_prefilter,12,1
2020,cusip_no_fee,848,297
2020,matched_cusip9_fee_4of21_prefilter,52373,4792
2020,matched_cusip9_fee_below_4of21_prefilter,260,190
2020,matched_unique_cusip8_fee_4of21_prefilter,12,1
2021,cusip_no_fee,1021,514
2021,matched_cusip9_fee_4of21_prefilter,60668,5689
2021,matched_cusip9_fee_below_4of21_prefilter,501,397
2021,matched_unique_cusip8_fee_4of21_prefilter,12,1
2022,cusip_no_fee,2096,499
2022,matched_cusip9_fee_4of21_prefilter,65221,5842
2022,matched_cusip9_fee_below_4of21_prefilter,596,418
2022,matched_unique_cusip8_fee_4of21_prefilter,12,1
2023,cusip_no_fee,1394,372
2023,matched_cusip9_fee_4of21_prefilter,62141,5673
2023,matched_cusip9_fee_below_4of21_prefilter,539,360
2023,matched_unique_cusip8_fee_4of21_prefilter,12,1
2024,cusip_no_fee,730,225
2024,matched_cusip9_fee_4of21_prefilter,59713,5381
2024,matched_cusip9_fee_below_4of21_prefilter,377,263
2024,matched_unique_cusip8_fee_4of21_prefilter,12,1
2025,cusip_no_fee,432,161
2025,matched_cusip9_fee_4of21_prefilter,59084,5354
2025,matched_cusip9_fee_below_4of21_prefilter,284,221
2025,matched_unique_cusip8_fee_4of21_prefilter,12,1
