year,stock_months,unique_permnos,fee_observed,fee_asof_observed,four_of_21,crsp_eligible,selected_universe,fee_observed_share,fee_asof_observed_share,four_of_21_share,crsp_eligible_share,selected_universe_share
2005,66708,5901,45845,41748,42467,8520,2000,0.6872489056784793,0.6258319841698147,0.6366103016129999,0.12772081309588054,0.02998141152485459
2006,65743,5814,49261,48638,47701,52036,12000,0.7492965030497544,0.7398202089956345,0.7255677410522793,0.7915063200644935,0.1825289384421155
2007,64526,5773,58588,57472,57980,51435,12000,0.9079750798127887,0.8906797260019217,0.8985525214642159,0.7971205405572948,0.18597154635340793
2008,62151,5415,56871,56687,56182,46856,12000,0.9150456147125549,0.912085083104053,0.9039597110263713,0.7539058100432817,0.19307814838055704
2009,58211,5115,53939,53931,52937,41196,12000,0.9266118087646664,0.9264743776949373,0.909398567281098,0.7077012935699438,0.20614660459363351
2010,56189,4934,51625,51386,51006,42813,12000,0.9187741372866576,0.9145206357116161,0.9077577461780776,0.7619462884194416,0.21356493263806084
2011,54572,4772,52139,51843,51673,42821,12000,0.9554166972073591,0.9499926702338195,0.9468775196071245,0.7846697940335703,0.2198929854137653
2012,53107,4638,50646,50488,50251,41600,12000,0.9536595928973581,0.9506844672077127,0.9462217786732445,0.7833242322104431,0.2259589131376278
2013,52359,4627,49752,49509,49306,42275,12000,0.9502091331003266,0.9455680971752707,0.9416910177810882,0.8074065585668175,0.229186959262018
2014,53626,4730,52183,51720,51785,43542,12000,0.9730914108827807,0.9644575392533472,0.965669637862231,0.8119568865848655,0.22377205087084623
2015,54485,4786,53083,52826,52592,44248,12000,0.9742681471964761,0.9695512526383409,0.9652564926126457,0.8121134257134991,0.22024410388180232
2016,53264,4696,52213,51989,51903,43551,12000,0.9802680985280865,0.9760626314208471,0.9744480324421748,0.8176441874436767,0.22529288074496845
2017,52543,4632,51625,51370,51354,43088,12000,0.9825285956264393,0.9776754277448947,0.9773709152503663,0.8200521477646879,0.22838437089621832
2018,52774,4632,51827,51524,51522,43181,12000,0.9820555576609694,0.9763140940614696,0.976276196611968,0.8182248834653428,0.22738469700989122
2019,53029,4653,52138,51890,51888,42673,12000,0.9831978728620189,0.9785211865205831,0.9784834713081522,0.8047106300326237,0.2262912745856041
2020,53493,4840,52645,52168,52385,42491,12000,0.984147458545978,0.9752304039780906,0.9792870095152637,0.794328229861851,0.22432841680219842
2021,62202,5798,61181,60101,60680,47487,12000,0.9835857367930292,0.9662229510305135,0.97553133339764,0.763432043985724,0.1929198418057297
2022,67925,5903,65829,65509,65233,52309,12000,0.9691424365108575,0.9644313581155687,0.9603680529996319,0.7700993743099006,0.17666543982333455
2023,64086,5722,62692,62420,62153,48748,12000,0.9782479792778453,0.9740036825515713,0.9698374059857067,0.7606653559279718,0.1872483849826795
2024,60832,5431,60102,59782,59725,45690,12000,0.9879997369805366,0.9827393477117307,0.9818023408732246,0.7510849552866912,0.19726459758022094
2025,59812,5375,59380,58935,59096,44453,12000,0.9927773690898147,0.9853373904902026,0.9880291580284892,0.7432120644686685,0.20062863639403464
