period,rows,indicativefee_nonmissing,dcbs_nonmissing,saf_nonmissing,sar_nonmissing,utilisation_nonmissing,activeutilisation_nonmissing,cusip_nonmissing,cusip8_nonmissing,cusip9_nonmissing,indicativefee_coverage,dcbs_coverage,saf_coverage,sar_coverage,utilisation_coverage,activeutilisation_coverage
2002,24664,7523,7523,0,0,23621,23621,21960.0,21960.0,21960.0,0.30501946156341225,0.30501946156341225,0.0,0.0,0.9577116445021083,0.9577116445021083
2003,61006,41824,41824,0,0,51336,51336,55727.0,55727.0,55727.0,0.6855719109595777,0.6855719109595777,0.0,0.0,0.8414910008851588,0.8414910008851588
2004,177912,132707,132707,0,0,155538,155538,165257.0,165257.0,165257.0,0.7459137101488377,0.7459137101488377,0.0,0.0,0.8742411978955889,0.8742411978955889
2005,366689,272382,272382,0,0,339089,339089,348549.0,348549.0,348549.0,0.7428147558285086,0.7428147558285086,0.0,0.0,0.9247318572414226,0.9247318572414226
2006,1356638,914902,914902,19323,19323,1297391,1297391,1267129.0,1267129.0,1267129.0,0.6743891885676209,0.6743891885676209,0.014243298507044621,0.014243298507044621,0.956328069831451,0.956328069831451
2007,2532907,1735154,1735154,127535,128304,2380425,2380425,2421954.0,2421954.0,2421954.0,0.6850444963040491,0.6850444963040491,0.050351236741025235,0.05065484046591525,0.9397996057494412,0.9397996057494412
2008,2434913,1731946,1731946,388434,389317,2238062,2238062,2354135.0,2354135.0,2354135.0,0.7112968717978836,0.7112968717978836,0.1595268496246067,0.15988949091815602,0.9191548116914239,0.9191548116914239
2009,2034813,1470118,1470118,318885,275920,1938823,1938823,1991513.0,1991513.0,1991513.0,0.7224830979554386,0.7224830979554386,0.15671464650560027,0.13559968409873535,0.9528261319344824,0.9528261319344824
2010,1754735,1322395,1322395,627626,619974,1754125,1754125,1726939.0,1726939.0,1726939.0,0.7536152182523287,0.7536152182523287,0.357675660427358,0.3533148880030318,0.9996523691611554,0.9996523691611554
2011,2070608,1547000,1547000,752044,750790,1935215,1935215,2031641.0,2031641.0,2031641.0,0.7471235501842937,0.7471235501842937,0.3631996012765333,0.362593982057444,0.9346119593858422,0.9346119593858422
2012,2166870,1548559,1548559,745742,744327,2015542,2015542,2121870.0,2121870.0,2121870.0,0.7146524710757913,0.7146524710757913,0.34415631763788324,0.34350330199781254,0.9301628616391385,0.9301628616391385
2013,2135934,1559509,1559509,667499,653851,2017633,2017633,2091171.0,2091171.0,2091171.0,0.7301297699273479,0.7301297699273479,0.31250918801798183,0.30611947747449125,0.9446139253366443,0.9446139253366443
2014,2147291,1542945,1542945,744368,735007,1988311,1988311,2132734.0,2132734.0,2132734.0,0.7185542155208586,0.7185542155208586,0.34665445903699127,0.34229501264616674,0.9259625267371772,0.9259625267371772
2015,2012853,1520504,1520504,827800,826209,1791966,1791966,2007078.0,2007078.0,2007078.0,0.7553974383623643,0.7553974383623643,0.4112570565262342,0.4104666361627004,0.8902617329730487,0.8902617329730487
2016,2023564,1549474,1549474,1116052,1118001,1839763,1839763,2018417.0,2018323.0,2018276.0,0.7657153418424127,0.7657153418424127,0.5515278983022034,0.5524910504436726,0.9091696630301784,0.9091696630301784
2017,1982508,1551456,1551456,913121,912664,1810993,1810993,1978293.0,1977819.0,1977630.0,0.7825723780181467,0.7825723780181467,0.4605888097298977,0.46035829363614167,0.9134858472197842,0.9134858472197842
2018,2068641,1595672,1595672,927733,927346,1902281,1902281,2064735.0,2064474.0,2064474.0,0.7713624548677127,0.7713624548677127,0.44847462657851217,0.44828754723511716,0.9195800527979481,0.9195800527979481
2019,2602105,1686875,1686875,1077710,1077096,2459135,2459135,2598622.0,2598230.0,2598230.0,0.6482732249467258,0.6482732249467258,0.414168528940992,0.41393256613395696,0.9450560219514585,0.9450560219514585
2020,2850031,1683739,1683739,1320415,1320288,2707345,2707345,2846417.0,2846022.0,2846021.0,0.5907791880158496,0.5907791880158496,0.46329846938506986,0.4632539084662588,0.949935281405711,0.949935281405711
2021,3033225,1917671,1917671,1473175,1473200,2848335,2848335,3029943.0,3029682.0,3029682.0,0.6322218101195922,0.6322218101195922,0.4856794336061453,0.48568767565874604,0.9390450757856736,0.9390450757856736
2022,2880441,1976883,1976883,1687863,1688010,2616757,2616757,2877568.0,2877317.0,2877317.0,0.686312616713899,0.686312616713899,0.5859738144263327,0.5860248482784407,0.9084570730662422,0.9084570730662422
2023,2653727,1875491,1875491,1618755,1619363,2401863,2401863,2650696.0,2650696.0,2650696.0,0.7067384851569133,0.7067384851569133,0.6099930399773601,0.6102221517134204,0.905090463337035,0.905090463337035
2024,2929130,1868267,1868267,1578960,1579277,2750513,2750513,2925479.0,2925479.0,2925479.0,0.6378231761649363,0.6378231761649363,0.5390542584316845,0.5391624816925162,0.9390204600000682,0.9390204600000682
2025,3577935,1943992,1943992,1611047,1611098,3447774,3447774,3574954.0,3574954.0,3574954.0,0.5433279251858963,0.5433279251858963,0.4502728529165566,0.4502871069485611,0.9636211949071182,0.9636211949071182
2026,2164043,1158052,1158052,1242792,1242598,2072692,2072692,2161911.0,2161911.0,2161911.0,0.535133544019227,0.535133544019227,0.574291730802022,0.5742020837848416,0.9577868831626728,0.9577868831626728
2002-05,1243,525,525,0,0,1019,1019,,,,0.4223652453740949,0.4223652453740949,0.0,0.0,0.8197908286403862,0.8197908286403862
2002-06,3270,666,666,0,0,3157,3157,,,,0.2036697247706422,0.2036697247706422,0.0,0.0,0.9654434250764526,0.9654434250764526
2002-07,3245,656,656,0,0,3133,3133,,,,0.20215716486902927,0.20215716486902927,0.0,0.0,0.9654853620955316,0.9654853620955316
