period,stock_month_observations,unique_cusip8,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,fee_qualifying_share
2007-01,6868,6868,2.1577242283051836,3.8296309827905914,0.25,0.25,0.375,0.5,0.625,8.0,16.0,40.0,0.2284507862550961,20.739947839600944,10.65544,58.604812,99.83682759999999,0.9631624927198602
2007-02,6963,6963,2.2163578917133417,3.941626582307636,0.25,0.25,0.375,0.5,0.8125,8.0,17.0,50.0,0.2371104409019101,21.290168521969626,11.21177,60.43606400000001,99.9535278,0.9632342381157547
2007-03,6939,6938,2.2892527741749533,3.9863308783296367,0.25,0.25,0.5,0.5,1.125,8.0,17.0,55.00000000000001,0.251621271076524,22.499590879755793,12.52849,63.166223,99.89678280000001,0.9632511889321228
2007-04,6948,6948,2.237424438687392,3.9620475421503194,0.25,0.25,0.375,0.5,1.0,8.0,16.0,60.0,0.24481865284974094,22.733224971408653,12.7163,63.74255700000003,99.9238009,0.9668969487622338
2007-05,7165,7163,2.3602930914166085,3.9891760506606126,0.25,0.25,0.375,0.5,1.625,8.0,16.0,55.00000000000001,0.2636427076064201,22.92678215953292,12.909705,64.32499000000001,99.69229750000001,0.946685275645499
2007-06,6993,6993,2.424049049049049,4.023837233196382,0.25,0.25,0.5,0.5,2.0,8.0,16.0,55.00000000000001,0.2722722722722723,25.103464160056586,15.388,68.68977600000001,99.8963912,0.9602459602459602
2007-07,7017,7016,2.509120706854781,4.070161139098338,0.25,0.25,0.5,0.5,2.5,8.0,16.0,60.0,0.28331195667664244,25.245322570162383,15.86363,68.10069600000003,99.6523572,0.963802194670087
2007-08,7191,7191,2.6753754693366707,4.204170829364636,0.25,0.25,0.375,0.5,4.0,8.0,16.0,55.00000000000001,0.30941454596022805,24.49621020049654,15.837814999999999,66.02706299999998,99.3324725,0.9610624391600612
2007-09,7076,7076,2.888266676088185,4.250906495980341,0.25,0.25,0.375,0.5,6.0,8.0,17.0,65.0,0.36023176936122103,24.706219945292883,16.5708,65.835846,99.5770368,0.9639626907857547
2007-10,7250,7248,2.8235862068965516,4.624377428744221,0.25,0.25,0.25,0.375,7.000000000000001,8.0,18.0,75.0,0.35186206896551725,23.594759226835826,14.72852,64.91490999999999,99.0863615,0.9514482758620689
2007-11,7391,7389,2.8580706264375593,4.247123377142034,0.25,0.375,0.375,0.5,7.000000000000001,7.000000000000001,17.0,80.0,0.3609795697469896,24.876496768715466,15.73756,67.33628300000002,99.63336419999997,0.954268705181978
2007-12,7518,7517,2.777716812982176,4.18291338088838,0.25,0.25,0.5,0.5,6.0,7.000000000000001,16.829999999999927,80.0,0.3619313647246608,23.506594367125825,14.07247,64.934365,99.5075239,0.9573024740622506
2008-01,7517,7516,2.572801649594253,4.1065414746253035,0.25,0.25,0.375,0.5,5.0,6.0,18.0,80.0,0.37501662897432486,23.249263238093892,14.00184,64.75642599999999,98.49475559999999,0.9554343488093654
2008-02,7604,7603,2.604385849552867,4.218191950255698,0.25,0.25,0.5,0.5,4.0,5.0,19.0,75.0,0.4034718569174119,23.873093364774267,14.68704,66.43625400000006,98.41621319999994,0.956207259337191
2008-03,7400,7399,2.808581081081081,4.461516815510962,0.25,0.375,0.5,0.5,4.5,5.0,19.01000000000022,75.0,0.44067567567567567,23.992825112071042,15.00468,65.06404,98.4765685,0.9637837837837838
2008-04,7293,7292,2.5166083916083917,4.3109930358281385,0.25,0.375,0.5,0.5,4.0,4.5,19.0,70.0,0.41011929247223367,23.254819235117697,14.04015,63.47736800000001,98.05830599999999,0.9635266694090223
2008-05,6992,6992,2.416172053775744,4.1991280098953405,0.25,0.375,0.375,0.5,4.0,4.5,20.0,80.0,0.40360411899313503,24.07495657711407,14.66449,66.80796099999998,98.71476720000003,0.9743993135011442
2008-06,6936,6936,2.5229959630911187,4.485757436109944,0.25,0.375,0.5,0.5,4.0,4.5,25.0,90.0,0.41017877739331027,24.61403802176191,15.55475,67.23036,99.13484079999998,0.9687139561707035
2008-07,7025,7025,2.4147864768683274,4.4287980090762655,0.25,0.25,0.375,0.5,3.5000000000000004,4.5,25.0,85.0,0.4046975088967972,24.88635442615712,15.78388,67.560732,99.78087409999999,0.9598576512455516
2008-08,7032,7032,2.437428896473265,4.420937736818466,0.25,0.25,0.5,0.5,3.5000000000000004,4.5,25.0,85.0,0.4054323094425484,23.696147143015686,14.01806,65.11372600000001,99.096693,0.9540671217292378
2008-09,7393,7393,5.359174218855674,6.578437649469229,0.25,0.375,0.5,3.0,10.0,11.0,30.0,85.0,0.5257676180170432,21.692795430660347,11.455169999999999,62.171989999999994,98.60454069999997,0.9268226700933315
2008-10,7887,7887,2.237526943070876,4.852351044247683,0.25,0.375,0.5,0.625,1.625,8.0,20.0,110.00000000000001,0.2900976290097629,20.13701303793768,10.30514,57.97620499999999,98.101125,0.9111195638392291
2008-11,7627,7627,2.1387996591058083,4.876549160890232,0.25,0.375,0.5,0.625,1.375,7.000000000000001,19.0,110.00000000000001,0.40920414317556053,19.440946783579534,9.799245,55.67120799999999,98.80117760000003,0.9189720728989118
2008-12,7565,7565,2.0013879709187044,4.864197857751309,0.25,0.25,0.375,0.5,1.0,8.0,19.0,100.0,0.24547257105089226,17.64460188691624,8.073457,50.57207,98.91173079999996,0.9197620621282221
2009-01,7548,7548,2.2680345786963434,4.974608801767073,0.25,0.25,0.375,0.625,2.0,8.0,22.649999999998727,90.0,0.3314785373608903,17.39966782769205,8.1649165,50.284740000000006,98.0012396,0.9095124536301007
