model,months,solved_months,avg_n_stocks,average_monthly_gross,average_monthly_net,annualized_net,average_turnover,average_transaction_cost,average_short_fee,average_lending_revenue,average_short_weight,average_gross_exposure,parameter,value,transaction_cost,fee_scale,stocks_per_size_group,target_stocks,sample,fee_fill,include_lending_revenue,status
M2,228,228,983.0175438596491,0.01168153880196169,0.007684761083031684,0.09621638936660126,2.0414296283429123,0.0020414296283429124,0.001990821565295804,3.5473474708710326e-05,0.2500000104333141,1.500000020866628,transaction_cost_bps,10,0.001,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.0114272837229432,0.007592703232186268,0.09501524426333208,2.0436544680179636,0.0020436544680179636,0.0018263995972626387,3.54735745236698e-05,0.2500000135301079,1.5000000270602158,transaction_cost_bps,10,0.001,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.011606439354347594,0.004561657737448485,0.0561343672634429,2.035673814382826,0.005089184535957065,0.0019910888203699345,3.549173942788806e-05,0.25000001550223144,1.5000000310044628,transaction_cost_bps,25,0.0025,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011340750769941213,0.0044543717104580174,0.05478163483878595,2.0379612300209127,0.005094903075052282,0.001826967843112667,3.549185868175457e-05,0.25000001646576214,1.5000000329315244,transaction_cost_bps,25,0.0025,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,transaction_cost_bps,50,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,transaction_cost_bps,50,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172580599795341,-0.010264325695736294,-0.116450892506334,2.003385613566271,0.020033856135662706,0.001991896102584987,3.562054455798893e-05,0.2500000173704544,1.5000000347409088,transaction_cost_bps,100,0.01,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011451680997022958,-0.010396944224900406,-0.11787052812003251,2.005691797558879,0.02005691797558879,0.0018273278581092962,3.5620611774722645e-05,0.2500000208870215,1.5000000417740431,transaction_cost_bps,100,0.01,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,0.0006224655909838454,0.007495212811564622,2.025441573648798,0.01012720786824399,0.0009958988101301009,1.7746822046113633e-05,0.250000016479227,1.500000032958454,fee_scale,0.5,0.005,0.5,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011480093161149884,0.00042858385788978434,0.005155146782814146,2.0272281690047036,0.010136140845023518,0.0009331152939404548,1.774683570387387e-05,0.25000001825510976,1.5000000365102195,fee_scale,0.5,0.005,0.5,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,fee_scale,1.0,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,fee_scale,1.0,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.0013338383851841298,-0.01588915889373743,2.025441573648798,0.01012720786824399,0.0029876964303903026,5.32404661383409e-05,0.250000016479227,1.500000032958454,fee_scale,1.5,0.005,1.5,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.01135187361872273,-0.001436599703562169,-0.017103634578356286,2.0279473166131687,0.010139736583065845,0.002701977460108349,5.324072088929571e-05,0.25000001828135543,1.5000000365627109,fee_scale,1.5,0.005,1.5,200,1000,common_fee_4of21,none,True,actual
M2,228,228,491.1842105263158,0.009417818376374378,-0.0009361387482438303,-0.011176005605369133,1.7775816567530947,0.008887908283765475,0.0015082033275487287,4.215448669599442e-05,0.2500000125012555,1.500000025002511,target_stocks,500,0.005,1.0,100,500,common_fee_4of21,none,True,actual
M3,228,228,491.1842105263158,0.009281832331585102,-0.0009294605019111336,-0.011096685114385219,1.7787993866787664,0.008893996933393832,0.0013594504272086182,4.215452710621617e-05,0.250000014458653,1.500000028917306,target_stocks,500,0.005,1.0,100,500,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,target_stocks,1000,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,target_stocks,1000,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,target_stocks,1500,0.005,1.0,300,1500,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,target_stocks,1500,0.005,1.0,300,1500,common_fee_4of21,none,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,sample,common_fee_4of21,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,sample,common_fee_4of21,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M2,228,228,999.9342105263158,0.0114433748869973,-0.0006620810261896854,-0.007916104883731179,2.0319710494711867,0.010159855247355935,0.001980903788425417,3.530312259436736e-05,0.25000001600434263,1.5000000320086853,sample,all_crsp_monthly_median_fill,0.005,1.0,200,1000,all_crsp_monthly_median_fill,monthly_median,True,actual
M3,228,228,999.9342105263158,0.011197310656502982,-0.0007657902130163013,-0.009150876498148497,2.0335605652118773,0.010167802826059386,0.001830601416767032,3.5303373307133446e-05,0.2500000168126392,1.5000000336252783,sample,all_crsp_monthly_median_fill,0.005,1.0,200,1000,all_crsp_monthly_median_fill,monthly_median,True,actual
M2,228,228,983.0175438596491,0.01172782544731182,-0.000355686397100142,-0.0042598968113752855,2.025441573648798,0.01012720786824399,0.0019917976202602017,3.549364409222727e-05,0.250000016479227,1.500000032958454,lending_revenue,included,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
M3,228,228,983.0175438596491,0.011432474279762996,-0.0004978941210979544,-0.005958395272086525,2.027761354531138,0.010138806772655693,0.0018270552572373557,3.549362903209931e-05,0.2500000179550352,1.5000000359100705,lending_revenue,included,0.005,1.0,200,1000,common_fee_4of21,none,True,actual
